Run,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_.country_and.or_sea.,Sitegroup,Region,geographic_location_.depth..m.,Site,latitude,longitude,Sample_Name
Z19.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,22.57,Z19,34.29619444,92.66286944,Z19.H1
Z19.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,21.87,Z19,34.29619444,92.66286944,Z19.H2
Z19.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,17.3,Z19,34.29619444,92.66286944,Z19.H3
Z19.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,20.13,Z19,34.29619444,92.66286944,Z19.H4
Z2.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,15.63,Z2,37.72274167,100.5625417,Z2.H1
Z2.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,17.27,Z2,37.72274167,100.5625417,Z2.H2
Z2.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,24.5,Z2,37.72274167,100.5625417,Z2.H3
Z2.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,16.77,Z2,37.72274167,100.5625417,Z2.H4
Z20.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,26.8,Z20,34.27698056,92.48201389,Z20.H1
Z20.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,27.17,Z20,34.27698056,92.48201389,Z20.H2
Z20.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,36.1,Z20,34.27698056,92.48201389,Z20.H3
Z20.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,39.1,Z20,34.27698056,92.48201389,Z20.H4
Z21.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,36.8,Z21,34.11014722,92.39175,Z21.H1
Z21.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,48.8,Z21,34.11014722,92.39175,Z21.H2
Z21.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,31.13,Z21,34.11014722,92.39175,Z21.H3
Z21.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,44.6,Z21,34.11014722,92.39175,Z21.H4
Z22.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,20.87,Z22,34.06011111,92.31974167,Z22.H1
Z22.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,14.17,Z22,34.06011111,92.31974167,Z22.H2
Z22.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,13.2,Z22,34.06011111,92.31974167,Z22.H3
Z22.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,11.83,Z22,34.06011111,92.31974167,Z22.H4
Z23.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,17.67,Z23,33.8441,92.35836,Z23.H1
Z23.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,23.4,Z23,33.8441,92.35836,Z23.H2
Z23.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,16.97,Z23,33.8441,92.35836,Z23.H3
Z23.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,21.63,Z23,33.8441,92.35836,Z23.H4
Z24.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,30.23,Z24,33.745276,92.17572,Z24.H1
Z24.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,27.67,Z24,33.745276,92.17572,Z24.H2
Z24.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,26.93,Z24,33.745276,92.17572,Z24.H3
Z24.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,18.77,Z24,33.745276,92.17572,Z24.H4
Z25.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,67.9,Z25,32.68784722,91.87671111,Z25.H1
Z25.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,44.37,Z25,32.68784722,91.87671111,Z25.H2
Z25.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,42.53,Z25,32.68784722,91.87671111,Z25.H3
Z25.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,28.83,Z25,32.68784722,91.87671111,Z25.H4
Z26.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,24.47,Z26,32.57216111,91.85865556,Z26.H1
Z26.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,43.3,Z26,32.57216111,91.85865556,Z26.H2
Z26.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,45.17,Z26,32.57216111,91.85865556,Z26.H3
