	Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU
OTU9160	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae			OTU9160
OTU9161	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	PMMR1	uncultured_endolithic	OTU9161
OTU9162	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis		OTU9162
OTU9163	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Asticcacaulis_sp.	OTU9163
OTU9164	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Asticcacaulis_excentricus	OTU9164
OTU9165	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis		OTU9165
OTU9166	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis		OTU9166
OTU9167	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis		OTU9167
OTU9168	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Asticcacaulis_endophyticus	OTU9168
OTU9169	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	uncultured_Alphaproteobacteria	OTU9169
OTU9170	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Paracaedibacteraceae	uncultured_bacterium	OTU9170
OTU9171	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	uncultured	uncultured		OTU9171
OTU9172	Bacteria	Proteobacteria	Alphaproteobacteria					OTU9172
OTU9173	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	uncultured		OTU9173
OTU9174	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	uncultured	metagenome	OTU9174
OTU9175	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	uncultured	metagenome	OTU9175
OTU9176	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	uncultured	uncultured_bacterium	OTU9176
OTU9177	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	uncultured	metagenome	OTU9177
OTU9178	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	uncultured		OTU9178
OTU9179	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	uncultured		OTU9179
OTU9180	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus_Gigarickettsia	uncultured_bacterium	OTU9180
OTU9181	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia		OTU9181
OTU9182	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia		OTU9182
OTU9183	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia		OTU9183
OTU9184	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia		OTU9184
OTU9185	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus_Megaira		OTU9185
OTU9186	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus_Megaira		OTU9186
OTU9187	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus_Megaira		OTU9187
OTU9188	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia		OTU9188
OTU9189	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae			OTU9189
OTU9190	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales				OTU9190
OTU9191	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales				OTU9191
OTU9192	Bacteria	Proteobacteria	Alphaproteobacteria	Ferrovibrionales	Ferrovibrionaceae	Ferrovibrio	Ferrovibrio_denitrificans	OTU9192
OTU9193	Bacteria	Proteobacteria	Alphaproteobacteria	Zavarziniales	Zavarziniaceae	Zavarziniaceae	metagenome	OTU9193
OTU9194	Bacteria	Proteobacteria	Alphaproteobacteria					OTU9194
OTU9195	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	uncultured	uncultured_bacterium	OTU9195
OTU9196	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	uncultured	uncultured_bacterium	OTU9196
OTU9197	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	uncultured	uncultured_bacterium	OTU9197
OTU9198	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	uncultured	uncultured_Rickettsiales	OTU9198
OTU9199	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	uncultured		OTU9199
OTU9200	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	uncultured	uncultured_Rickettsiales	OTU9200
OTU9201	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	uncultured	uncultured_bacterium	OTU9201
OTU9202	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus_Captivus	uncultured_bacterium	OTU9202
OTU9203	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus_Captivus	uncultured_bacterium	OTU9203
OTU9204	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus_Paracaedibacter	endosymbiont_of	OTU9204
OTU9205	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus_Paracaedibacter	uncultured_bacterium	OTU9205
OTU9206	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus_Paracaedibacter		OTU9206
OTU9207	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus_Paracaedibacter		OTU9207
OTU9208	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus_Paracaedibacter	uncultured_bacterium	OTU9208
OTU9209	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus_Paracaedibacter	metagenome	OTU9209
OTU9210	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus_Paracaedibacter	metagenome	OTU9210
OTU9211	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus_Paracaedibacter		OTU9211
OTU9212	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	uncultured	uncultured_prokaryote	OTU9212
OTU9213	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	uncultured	uncultured_prokaryote	OTU9213
OTU9214	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	uncultured	uncultured_prokaryote	OTU9214
OTU9215	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	uncultured	uncultured_bacterium	OTU9215
OTU9216	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	uncultured	uncultured_bacterium	OTU9216
OTU9217	Bacteria	Proteobacteria	Alphaproteobacteria	Caedibacterales	Caedibacteraceae	Caedibacter	Caedimonas_varicaedens	OTU9217
OTU9218	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	uncultured	uncultured_bacterium	OTU9218
OTU9219	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	uncultured	uncultured_bacterium	OTU9219
OTU9220	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	uncultured		OTU9220
OTU9221	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	uncultured	uncultured_bacterium	OTU9221
OTU9222	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia		OTU9222
OTU9223	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	Dongia_rigui	OTU9223
OTU9224	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	bacterium_Ellin314	OTU9224
OTU9225	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia		OTU9225
OTU9226	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	Rhodospirillaceae_bacterium	OTU9226
OTU9227	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia		OTU9227
OTU9228	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia		OTU9228
OTU9229	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia		OTU9229
OTU9230	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia		OTU9230
OTU9231	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia		OTU9231
OTU9232	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia		OTU9232
OTU9233	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia		OTU9233
OTU9234	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Inquilinaceae	Inquilinus		OTU9234
OTU9235	Bacteria	Proteobacteria	Alphaproteobacteria					OTU9235
OTU9236	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	uncultured	uncultured	uncultured_proteobacterium	OTU9236
OTU9237	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Inquilinaceae	Inquilinus	uncultured_Alphaproteobacteria	OTU9237
OTU9238	Bacteria	Proteobacteria	Alphaproteobacteria					OTU9238
OTU9239	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured	uncultured	uncultured	Rhodospirillaceae_bacterium	OTU9239
OTU9240	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured	uncultured	uncultured		OTU9240
OTU9241	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Telmatospirillum		OTU9241
OTU9242	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	uncultured	uncultured_bacterium	OTU9242
OTU9243	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Magnetospirillum		OTU9243
OTU9244	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Magnetospirillum	uncultured_bacterium	OTU9244
OTU9245	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Phaeospirillum		OTU9245
OTU9246	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Magnetospirillum	alpha_proteobacterium	OTU9246
OTU9247	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Magnetospirillum		OTU9247
OTU9248	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Magnetospirillum	uncultured_bacterium	OTU9248
OTU9249	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	Oceanibaculaceae	Oceanibaculum	uncultured_bacterium	OTU9249
OTU9250	Bacteria	Proteobacteria	Alphaproteobacteria					OTU9250
OTU9251	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillales_Incertae_Sedis	Stella		OTU9251
OTU9252	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillales_Incertae_Sedis	Stella		OTU9252
OTU9253	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	Elsteraceae	uncultured		OTU9253
OTU9254	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	uncultured	uncultured		OTU9254
OTU9255	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	uncultured	uncultured		OTU9255
OTU9256	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	uncultured	uncultured	uncultured_soil	OTU9256
OTU9257	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	uncultured	uncultured	uncultured_organism	OTU9257
OTU9258	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	uncultured	uncultured		OTU9258
OTU9259	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	uncultured	uncultured		OTU9259
OTU9260	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	uncultured	uncultured		OTU9260
OTU9261	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	uncultured	uncultured		OTU9261
OTU9262	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	uncultured	uncultured	uncultured_proteobacterium	OTU9262
OTU9263	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	uncultured	uncultured		OTU9263
OTU9264	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	uncultured	uncultured		OTU9264
OTU9265	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	uncultured	uncultured	uncultured_Acetobacteraceae	OTU9265
OTU9266	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	URHD0088	URHD0088	uncultured_Rhodospirillaceae	OTU9266
OTU9267	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus		OTU9267
OTU9268	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus		OTU9268
OTU9269	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus	metagenome	OTU9269
OTU9270	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus	metagenome	OTU9270
OTU9271	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus	metagenome	OTU9271
OTU9272	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus	uncultured_Defluviicoccus	OTU9272
OTU9273	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus	uncultured_organism	OTU9273
OTU9274	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus		OTU9274
OTU9275	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	uncultured	uncultured	metagenome	OTU9275
OTU9276	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	SAR116_clade	uncultured_Oceanibaculum	OTU9276
OTU9277	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured	uncultured	uncultured		OTU9277
OTU9278	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured	uncultured	uncultured		OTU9278
OTU9279	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured	uncultured	uncultured		OTU9279
OTU9280	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		OTU9280
OTU9281	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			OTU9281
OTU9282	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		OTU9282
OTU9283	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			OTU9283
OTU9284	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			OTU9284
OTU9285	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		OTU9285
OTU9286	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			OTU9286
OTU9287	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	Roseomonas_frigidaquae	OTU9287
OTU9288	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		OTU9288
OTU9289	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	Roseomonas_frigidaquae	OTU9289
OTU9290	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	Roseomonas_frigidaquae	OTU9290
OTU9291	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		OTU9291
OTU9292	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		OTU9292
OTU9293	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		OTU9293
OTU9294	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			OTU9294
OTU9295	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Rhodovarius	uncultured_bacterium	OTU9295
OTU9296	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Rhodovarius	uncultured_Alphaproteobacteria	OTU9296
OTU9297	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		OTU9297
OTU9298	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		OTU9298
OTU9299	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		OTU9299
OTU9300	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		OTU9300
OTU9301	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		OTU9301
OTU9302	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	Roseomonas_arctica	OTU9302
OTU9303	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			OTU9303
OTU9304	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			OTU9304
OTU9305	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			OTU9305
OTU9306	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		OTU9306
OTU9307	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			OTU9307
OTU9308	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			OTU9308
OTU9309	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	Roseomonas_aquatica	OTU9309
OTU9310	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseococcus		OTU9310
OTU9311	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseococcus	uncultured_bacterium	OTU9311
OTU9312	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseococcus	uncultured_bacterium	OTU9312
OTU9313	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseococcus		OTU9313
OTU9314	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	uncultured		OTU9314
OTU9315	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			OTU9315
OTU9316	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			OTU9316
OTU9317	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			OTU9317
OTU9318	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Rhodovastum	metagenome	OTU9318
OTU9319	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			OTU9319
OTU9320	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			OTU9320
OTU9321	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			OTU9321
OTU9322	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	Acetobacteraceae_bacterium	OTU9322
OTU9323	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			OTU9323
OTU9324	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	uncultured		OTU9324
OTU9325	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	uncultured		OTU9325
OTU9326	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	uncultured		OTU9326
OTU9327	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			OTU9327
OTU9328	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			OTU9328
OTU9329	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseococcus		OTU9329
OTU9330	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseococcus		OTU9330
OTU9331	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		OTU9331
OTU9332	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Humitalea	Humitalea_rosea	OTU9332
OTU9333	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		OTU9333
OTU9334	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			OTU9334
OTU9335	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			OTU9335
OTU9336	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			OTU9336
OTU9337	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		OTU9337
OTU9338	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		OTU9338
OTU9339	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		OTU9339
OTU9340	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		OTU9340
OTU9341	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		OTU9341
OTU9342	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		OTU9342
OTU9343	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		OTU9343
OTU9344	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	uncultured		OTU9344
OTU9345	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	Elsteraceae	uncultured	uncultured_bacterium	OTU9345
OTU9346	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	Elsteraceae	uncultured	uncultured_bacterium	OTU9346
OTU9347	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	Elsteraceae	uncultured	uncultured_bacterium	OTU9347
OTU9348	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured	uncultured	uncultured	uncultured_actinobacterium	OTU9348
OTU9349	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	uncultured	uncultured_soil	OTU9349
OTU9350	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	uncultured		OTU9350
OTU9351	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	uncultured	uncultured_Alphaproteobacteria	OTU9351
OTU9352	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured	uncultured	uncultured	uncultured_Acetobacteraceae	OTU9352
OTU9353	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured	uncultured	uncultured		OTU9353
OTU9354	Bacteria	Proteobacteria	Alphaproteobacteria					OTU9354
OTU9355	Bacteria	Proteobacteria	Alphaproteobacteria					OTU9355
OTU9356	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured	uncultured	uncultured		OTU9356
OTU9357	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured	uncultured	uncultured	Lacibacterium_aquatile	OTU9357
OTU9358	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	uncultured	uncultured	uncultured_bacterium	OTU9358
OTU9359	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella		OTU9359
OTU9360	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella		OTU9360
OTU9361	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella		OTU9361
OTU9362	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae			OTU9362
OTU9363	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae			OTU9363
OTU9364	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae			OTU9364
OTU9365	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	uncultured		OTU9365
OTU9366	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Niveispirillum	Niveispirillum_sp.	OTU9366
OTU9367	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	Elsteraceae	Elstera		OTU9367
OTU9368	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum		OTU9368
OTU9369	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum		OTU9369
OTU9370	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum		OTU9370
OTU9371	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum		OTU9371
OTU9372	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum		OTU9372
OTU9373	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum		OTU9373
OTU9374	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum		OTU9374
OTU9375	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum		OTU9375
OTU9376	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum		OTU9376
OTU9377	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum		OTU9377
OTU9378	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum		OTU9378
OTU9379	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum		OTU9379
