	Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU
OTU1181	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	uncultured_bacterium	OTU1181
OTU1182	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	uncultured_bacterium	OTU1182
OTU1183	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Terrimicrobiaceae	Terrimicrobium		OTU1183
OTU1184	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Terrimicrobiaceae	Terrimicrobium	uncultured_bacterium	OTU1184
OTU1185	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Terrimicrobiaceae	FukuN18_freshwater_group	uncultured_Verrucomicrobia	OTU1185
OTU1186	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Terrimicrobiaceae	FukuN18_freshwater_group	uncultured_Verrucomicrobia	OTU1186
OTU1187	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured		OTU1187
OTU1188	Bacteria	Verrucomicrobiota	Verrucomicrobiae	uncultured	uncultured	uncultured	metagenome	OTU1188
OTU1189	Bacteria	Verrucomicrobiota	Verrucomicrobiae	uncultured	uncultured	uncultured	metagenome	OTU1189
OTU1190	Bacteria	Verrucomicrobiota	Verrucomicrobiae	uncultured	uncultured	uncultured	uncultured_Opitutae	OTU1190
OTU1191	Bacteria	Verrucomicrobiota	Verrucomicrobiae	uncultured	uncultured	uncultured	uncultured_Opitutae	OTU1191
OTU1192	Bacteria	Verrucomicrobiota	Verrucomicrobiae	uncultured	uncultured	uncultured	uncultured_Opitutae	OTU1192
OTU1193	Bacteria	Verrucomicrobiota	Verrucomicrobiae	uncultured	uncultured	uncultured		OTU1193
OTU1194	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	Kapabacteriales	Kapabacteriales	metagenome	OTU1194
OTU1195	Bacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)		OTU1195
OTU1196	Bacteria	Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	Silvanigrella	uncultured_Myxococcales	OTU1196
OTU1197	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	uncultured	uncultured		OTU1197
OTU1198	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20		OTU1198
OTU1199	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	uncultured_Bacteriovorax	OTU1199
OTU1200	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20		OTU1200
OTU1201	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20		OTU1201
OTU1202	Bacteria	Acidobacteriota	Blastocatellia	11月24日	11月24日	11月24日	uncultured_bacterium	OTU1202
OTU1203	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae			OTU1203
OTU1204	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	Paludibacter	Paludibacter_propionicigenes	OTU1204
OTU1205	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	Paludibacter	uncultured_bacterium	OTU1205
OTU1206	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter		OTU1206
OTU1207	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter		OTU1207
OTU1208	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter		OTU1208
OTU1209	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter		OTU1209
OTU1210	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter		OTU1210
OTU1211	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter		OTU1211
OTU1212	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter		OTU1212
OTU1213	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter		OTU1213
OTU1214	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales				OTU1214
OTU1215	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS_17	env.OPS_17		OTU1215
OTU1216	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS_17	env.OPS_17		OTU1216
OTU1217	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS_17	env.OPS_17		OTU1217
OTU1218	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS_17	env.OPS_17		OTU1218
OTU1219	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS_17	env.OPS_17		OTU1219
OTU1220	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS_17	env.OPS_17		OTU1220
OTU1221	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS_17	env.OPS_17		OTU1221
OTU1222	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS_17	env.OPS_17		OTU1222
OTU1223	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium		OTU1223
OTU1224	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium		OTU1224
OTU1225	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium		OTU1225
OTU1226	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium		OTU1226
OTU1227	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium		OTU1227
OTU1228	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		OTU1228
OTU1229	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	BSV13	uncultured_bacterium	OTU1229
OTU1230	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes_vadinHA17	Bacteroidetes_vadinHA17		OTU1230
OTU1231	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes_vadinHA17	Bacteroidetes_vadinHA17		OTU1231
OTU1232	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	Lentimicrobium		OTU1232
OTU1233	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Rurimicrobium		OTU1233
OTU1234	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	37-13	37-13	uncultured_Bacteroidetes	OTU1234
OTU1235	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum		OTU1235
OTU1236	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum		OTU1236
OTU1237	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum		OTU1237
OTU1238	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae			OTU1238
OTU1239	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae			OTU1239
OTU1240	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum		OTU1240
OTU1241	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum		OTU1241
OTU1242	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum		OTU1242
OTU1243	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter		OTU1243
OTU1244	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium		OTU1244
OTU1245	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Heliimonas	Heliimonas_saccharivorans	OTU1245
OTU1246	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae			OTU1246
OTU1247	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae			OTU1247
OTU1248	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae			OTU1248
OTU1249	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Parasediminibacterium	uncultured_Bacteroidetes	OTU1249
OTU1250	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae			OTU1250
OTU1251	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae			OTU1251
OTU1252	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter		OTU1252
OTU1253	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter		OTU1253
OTU1254	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter		OTU1254
OTU1255	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter		OTU1255
OTU1256	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas		OTU1256
OTU1257	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	uncultured_Bacteroidetes	OTU1257
OTU1258	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	uncultured_Bacteroidetes	OTU1258
OTU1259	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium		OTU1259
OTU1260	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium		OTU1260
OTU1261	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium		OTU1261
OTU1262	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium		OTU1262
OTU1263	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium		OTU1263
OTU1264	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae			OTU1264
OTU1265	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae			OTU1265
OTU1266	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae			OTU1266
OTU1267	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Dinghuibacter		OTU1267
OTU1268	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae			OTU1268
OTU1269	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae			OTU1269
OTU1270	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum		OTU1270
OTU1271	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum		OTU1271
OTU1272	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12_marine_group	NS11-12_marine_group	uncultured_Cytophagales	OTU1272
OTU1273	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12_marine_group	NS11-12_marine_group	metagenome	OTU1273
OTU1274	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12_marine_group	NS11-12_marine_group	metagenome	OTU1274
OTU1275	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter		OTU1275
OTU1276	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured		OTU1276
OTU1277	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Cytophaga	uncultured_bacterium	OTU1277
OTU1278	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	uncultured		OTU1278
OTU1279	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae			OTU1279
OTU1280	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	uncultured		OTU1280
OTU1281	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	uncultured		OTU1281
OTU1282	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma	uncultured_bacterium	OTU1282
OTU1283	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma		OTU1283
OTU1284	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Rudanella	uncultured_bacterium	OTU1284
OTU1285	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae			OTU1285
OTU1286	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae			OTU1286
OTU1287	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Arcicella	Flectobacillus_sp.	OTU1287
OTU1288	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Flectobacillus		OTU1288
OTU1289	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Arcicella	Arcicella_sp.	OTU1289
OTU1290	Bacteria	Acidobacteriota	Holophagae	Subgroup_7	Subgroup_7	Subgroup_7		OTU1290
OTU1291	Bacteria	Acidobacteriota	Holophagae	Subgroup_7	Subgroup_7	Subgroup_7		OTU1291
OTU1292	Bacteria	Acidobacteriota	Holophagae	Subgroup_7	Subgroup_7	Subgroup_7		OTU1292
OTU1293	Bacteria	Acidobacteriota	Holophagae	Subgroup_7	Subgroup_7	Subgroup_7		OTU1293
