	geo_loc_name_country	geo_loc_name_country_continent	geographic_location_.country_and.or_sea.	Sitegroup	Region	Site	Sitegroup1	geographic location depth (cm)	latitude	longitude	Sample_Name	DOC	SUVA254	a320	MAP	MAT	pH
SRR1516018	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	SAS	Quebec sporadic permafrost zone	50	55.225	-77.695	SAS_2c_Small	23	5.49		643	-3.76	6.1
SRR1516019	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	SAS	Quebec sporadic permafrost zone	50	55.218	-77.707	SAS_1e_Small				643	-3.76	6.3
SRR1516020	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	SAS	Quebec sporadic permafrost zone	50	55.219	-77.707	SAS_1h_Small				644	-3.74	5.9
SRR1516021	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	NAS	Quebec sporadic permafrost zone	50	56.923	-76.378	NAS_A_Small	3	4.44		644	-3.74	7
SRR1516022	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	NAS	Quebec sporadic permafrost zone	50	56.923	-76.379	NAS_B_Small	1.5	8.75		569	-3.92	7
SRR1516023	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	NAS	Quebec sporadic permafrost zone	50	56.922	-76.379	NAS_C_Small	2.7	6.45		569	-3.92	6.9
SRR1516024	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	NAS	Quebec sporadic permafrost zone	50	56.923	-76.38	NAS_D_Small	5.7	6.68		569	-3.92	7.3
SRR1516025	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	NAS	Quebec sporadic permafrost zone	50	56.924	-76.377	NAS_E_Small	4.4	6.56		569	-3.92	7.2
SRR1516026	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	NAS	Quebec sporadic permafrost zone	50	56.923	-76.379	NAS_F_Small				569	-3.92	
SRR1516027	Canada	North America	Canada: Kujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	NAS	Quebec sporadic permafrost zone	50	56.923	-76.38	NAS_G_Small	4.5	6.88		569	-3.92	7.3
SRR1516028	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	NAS	Quebec sporadic permafrost zone	50	56.924	-76.377	NAS_H_Small	4.1	5.81		569	-3.92	7.5
SRR1516029	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	NAS	Quebec sporadic permafrost zone	50	56.923	-76.3772	NAS_I_Small	7.3	6.79		569	-3.92	7.3
SRR1516030	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	BGR	Quebec sporadic permafrost zone	50	56.6	-76.2141	BGR_E_Small	14.3	6.55		569	-3.92	6.5
SRR1005844	Canada	North America	Canada: Bylot Island	Bylot Island	Pan-Arctic	BI	Bylot Island	0-2.5	73.15	-79.97	BYL38	12.2		72.9	195	-14	
SRR1005845	Canada	North America	Canada: Bylot Island	Bylot Island	Pan-Arctic	BI	Bylot Island	0-2.5	73.15	-79.97	BYL22	8.1		19.6	195	-14	7.2
SRR1005846	Canada	North America	Canada: Bylot Island	Bylot Island	Pan-Arctic	BI	Bylot Island	0-2.5	73.15	-79.97	BYL24	11.5		37	195	-14	7.1
